id_municipio,cep,quantidade_vinculos_ativos,ano
2211001,64079145,12,2023
2211001,64001480,14,2023
2211001,64004650,13,2023
2211001,64017280,102,2023
2211001,64010120,13,2023
2211001,64023225,16,2023
2211001,64055400,21,2023
2211001,64048232,17,2023
2211001,64049110,13,2023
2211001,64018500,28,2023
2211001,64001973,26,2023
2211001,64049375,14,2023
2211001,64002450,118,2023
2211001,64019734,30,2023
2211001,64049010,26,2023
2211001,64084130,36,2023
2211001,64000480,64,2023
2211001,64076410,26,2023
2211001,64045375,15,2023
2211001,64040605,28,2023
2211001,64051005,17,2023
2211001,64038085,34,2023
2211001,64000060,920,2023
2211001,64016100,15,2023
2211001,64051130,29,2023
2211001,64048180,11,2023
2211001,64060742,35,2023
2211001,64035490,15,2023
2211001,64058040,21,2023
2211001,64022100,15,2023
2211001,64001480,11,2023
2211001,64001120,443,2023
2211001,64049250,17,2023
2211001,64030130,12,2023
2211001,64018000,37,2023
2211001,64000750,44,2023
2211001,64049410,13,2023
2211001,64045290,18,2023
2211001,64001260,20,2023
2211001,64079085,13,2023
2211001,64022053,16,2023
2211001,64019630,104,2023
2211001,64075005,20,2023
2211001,64003087,39,2023
2211001,64014130,75,2023
2211001,64001290,11,2023
2211001,64048400,188,2023
2211001,64010790,44,2023
2211001,64078600,18,2023
2211001,64037395,23,2023
2211001,64000300,11,2023
2211001,64010790,17,2023
2211001,64000120,30,2023
2211001,64076410,34,2023
2211001,64022990,15,2023
2211001,64048440,21,2023
2211001,64016010,13,2023
2211001,64039585,24,2023
2211001,64045440,42,2023
2211001,64071640,11,2023
2211001,64004450,25,2023
2211001,64049550,38,2023
2211001,64078225,12,2023
2211001,64049630,16,2023
2211001,64019352,109,2023
2211001,64007500,31,2023
2211001,64004000,18,2023
2211001,64049200,14,2023
2211001,64023608,202,2023
2211001,64078820,42,2023
2211001,64001020,421,2023
2211001,64023280,73,2023
2211001,64022050,73,2023
2211001,64056130,18,2023
2211001,64018505,12,2023
2211001,64018000,20,2023
2211001,64000070,16,2023
2211001,64089050,11,2023
2211001,64004275,33,2023
2211001,64039020,15,2023
2211001,64077360,20,2023
2211001,64049060,23,2023
2211001,64007850,15,2023
2211001,64023608,19,2023
2211001,64003600,33,2023
2211001,64006160,48,2023
2211001,64078600,17,2023
2211001,64000020,53,2023
2211001,64003087,16,2023
2211001,64018000,27,2023
2211001,64045380,3034,2023
2211001,64052860,140,2023
2211001,64009330,17,2023
2211001,64019630,11,2023
2211001,64057105,12,2023
2211001,64000200,38,2023
2211001,64049440,336,2023
2211001,64000080,24,2023
2211001,64019630,22,2023
2211001,64000280,83,2023
2211001,64057320,68,2023
2211001,64049526,11,2023
2211001,64000070,54,2023
2211001,64014047,23,2023
2211001,64014325,51,2023
2211001,64000270,62,2023
2211001,64078730,16,2023
2211001,64000060,16,2023
2211001,64015120,11,2023
2211001,64048180,103,2023
2211001,64027970,17,2023
2211001,64049310,12,2023
2211001,64001973,233,2023
2211001,64049240,58,2023
2211001,64051152,96,2023
2211001,64085020,14,2023
2211001,64016096,33,2023
2211001,64002180,21,2023
2211001,64057310,12,2023
2211001,64000200,33,2023
2211001,64078100,13,2023
2211001,64049494,56,2023
2211001,64027468,20,2023
2211001,64014540,26,2023
2211001,64025050,23,2023
2211001,64022050,56,2023
2211001,64001300,27,2023
2211001,64014130,21,2023
2211001,64001530,33,2023
2211001,64025050,78,2023
2211001,64016010,12,2023
2211001,64003160,816,2023
2211001,64000010,13,2023
